University of Denver	du.edu	Denver	CO
Fort Lewis College	fortlewis.edu	Durango	CO
Front Range Community College	frontrange.edu	Westminster	CO
Jones International University	jiu.edu	Centennial	CO
Colorado School of Mines	mines.edu	Golden	CO
Metropolitan State University of Denver	msudenver.edu	Denver	CO
Naropa University	naropa.edu	Boulder	CO
Pikes Peak Community College	ppcc.edu	Colorado Springs	CO
Pueblo Community College	pueblocc.edu	(multiple locations)	CO
Redstone College	redstone.edu	Denver	CO
Regis University	regis.edu	Denver	CO
University of the Rockies	rockies.edu	Colorado Springs	CO
Red Rocks Community College	rrcc.edu	Lakewood	CO
William Howard Taft University	taft.edu	Denver	CO
University Corporation for Atmospheric Research	ucar.edu	Boulder	CO
University of Colorado Colorado Springs	uccs.edu	Colorado Springs	CO
University of Colorado Denver	ucdenver.edu	(multiple locations)	CO
University of Northern Colorado	unco.edu	Greeley	CO
University of Colorado	cu.edu	Denver	CO
Western State Colorado University	western.edu	Gunnison	CO
Albertus Magnus College	albertus.edu	New Haven	CT
Asnuntuck Community College	asnuntuck.edu	Enfield	CT
Connecticut College	conncoll.edu	New London	CT
Eastern Connecticut State University	easternct.edu	Willimantic	CT
Fairfield University	fairfield.edu	Fairfield	CT
Goodwin College	goodwin.edu	East Hartfod	CT
University of Hartford	hartford.edu	West Hartford	CT
Hartford Seminary	hartsem.edu	Hartford	CT
University of New Haven	newhaven.edu	West Haven	CT
Queens University of Charlotte	quinnipiac.edu	Hamden	CT
Quinebaug Valley Community College	qvcc.edu	Danielson	CT
Sacred Heart University	sacredheart.edu	Fairfield	CT
Southern Connecticut State University	southernct.edu	New Haven	CT
Three Rivers Community College	threerivers.edu	Norwich	CT
Trinity College	trincoll.edu	Hartford	CT
Tunxis Community College	tunxis.edu	Farmington	CT
University of Connecticut Health Center	uchc.edu	Farmington	CT
University of Connecticut	uconn.edu	Storrs	CT
University of Saint Joseph Connecticut	usj.edu	West Hartford	CT
Western Connecticut State University	wcsu.edu	Danbury	CT
Wesleyan University	wesleyan.edu	Middletown	CT
Yale University	yale.edu	New Haven	CT
American University	american.edu	Washington	DC
Carnegie Institution for Science	carnegiescience.edu	Washington	DC
The Catholic University of America	cua.edu	Washington	DC
Gallaudet University	gallaudet.edu	Washington	DC
Georgetown University	georgetown.edu	Washington	DC
George Washington University	gwu.edu	Washington	DC
Howard University	howard.edu	Washington	DC
Johns Hopkins School of Advanced International Studies	sais-jhu.edu	Washington	DC
University of California Washington Center	ucdc.edu	Washington	DC
University of the District of Columbia	udc.edu	Washington	DC
Delaware State University	desu.edu	Dover	DE
Delaware Technical Community College	dtcc.edu	Dover	DE
Goldey-Beacom College	gbc.edu	Wilmington	DE
University of Delaware	udel.edu	Newark	DE
Wesley College	wesley.edu	Dover	DE
Wilmington University	wilmu.edu	New Castle	DE
Carlos Albizu University	albizu.edu	Miami	FL
Acupuncture Massage College	amcollege.edu	Miami	FL
Atlantic Institute of Oriental Medicine	atom.edu	Fort Lauderdale	FL
Barry University	barry.edu	Miami Shores	FL
Broward College	broward.edu	Fort Lauderdale	FL
College of Central Florida	cf.edu	Ocala	FL
Chipola College	chipola.edu	Marianna	FL
Bethune-Cookman University	cookman.edu	Daytona Beach	FL
Dade Medical College	dadmedical.edu	Miami	FL
Daytona State College	daytonastate.edu	Daytona Beach	FL
Eckerd College	eckerd.edu	Saint Petersburg	FL
Edison State College	edison.edu	Fort Myers	FL
Embry-Riddle Aeronautical University	erau.edu	Daytona Beach	FL
Everglades University	evergladesuniversity.edu	Boca Raton	FL
Florida Atlantic University	fau.edu	Boca Raton	FL
Florida Gulf Coast University	fgcu.edu	Fort Myers	FL
Florida Institute of Technology	fit.edu	Melbourne	FL
Florida International University	fiu.edu	Miami	FL
Flagler College	flagler.edu	Saint Augustine	FL
Florida Southern College	flsouthern.edu	Lakeland	FL
Florida National University	fnu.edu	Hialeah	FL
Florida State College at Jacksonville	fscj.edu	Jacksonville	FL
Florida State University	fsu.edu	Tallahassee	FL
Gulf Coast State College	gulfcoast.edu	Panama City	FL
Hillsborough Community College	hccfl.edu	Tampa	FL
Jacksonville University	ju.edu	Jacksonville	FL
Keiser University	keiseruniversity.edu	Fort Lauderdale	FL
Loraines Academy Incorporated	lorainesacademy.edu	Saint Petersburg	FL
Lake Sumter State College	lssc.edu	Leesburg	FL
Lynn University	lynn.edu	Boca Raton	FL
Millennia Atlantic University	maufl.edu	Doral	FL
Miami Dade College	mdc.edu	Miami	FL
University of Miami	miami.edu	Coral Gables	FL
Miami International University of Art and Design	mymiu.edu	Miami	FL
New College of Florida	ncf.edu	Sarasota	FL
North Florida Community College	nfcc.edu	Madison	FL
Nova Southeastern University	nova.edu	Fort Lauderdale	FL
National University of Health Sciences	nuhs.edu	(multiple locations)	FL
Northwest Florida State College	nwfsc.edu	Niceville	FL
Palm Beach State College	palmbeachstate.edu	Lake Worth	FL
Palm Beach Atlantic University	pba.edu	West Palm Beach	FL
Pensacola State College	pensacolastate.edu	Pensacola	FL
Pasco-Hernando State College	phsc.edu	New Port Richey	FL
Ringling College of Art and Design	ringling.edu	Sarasota	FL
Rollins College	rollins.edu	Winter Park	FL
Saint Leo University	saintleo.edu	Saint Leo	FL
State College of Florida	scf.edu	Bradenton	FL
Seminole State College of Florida	seminolestate.edu	Sanford	FL
Santa Fe College	sfcollege.edu	Gainesville	FL
South Florida State College	southflorida.edu	Avon Park	FL
Space Coast Health Institute	spacecoast.edu	Melbourne	FL
Saint Petersburg College	spcollege.edu	Saint Petersburg	FL
Stetson University	stetson.edu	DeLand	FL
Saint Thomas University	stu.edu	Miami Gardens	FL
Saint Vincent de Paul Regional Seminary	svdp.edu	Boynton Beach	FL
Traviss Career Center	traviss.edu	Lakeland	FL
University of Central Florida	ucf.edu	Orlando	FL
University of Florida	ufl.edu	Gainesville	FL
University of North Florida	unf.edu	Jacksonville	FL
University of South Florida	usf.edu	Fowler Avenue	FL
University of South Florida Sarasota-Manatee	usfsm.edu	Sarasota	FL
University of South Florida Saint Petersburg	usfsp.edu	Saint Petersburg	FL
University of Tampa	ut.edu	Tampa	FL
University of West Florida	uwf.edu	Pensacola	FL
Valencia College	valenciacollege.edu	Orlando	FL
Warner University	warner.edu	Lake Wales	FL
