,datetime,IP,startYear,endYear,num_uni,num_author,CL,TACL,ACL_C,NAACL_C,EMNLP_C,CoNLL_C,EACL_C,COLING,IJCNLP,WKSPDEMO
144,2020-02-13 05:34:50.758963,91.235.7.2,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
145,2020-02-13 05:35:42.106019,91.221.176.14,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
146,2020-02-13 05:36:28.628541,91.221.176.14,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
147,2020-02-13 05:37:23.435392,91.235.7.2,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
148,2020-02-13 05:46:30.209582,47.110.254.132,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
149,2020-02-13 05:47:17.744029,5.149.217.220,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
150,2020-02-13 05:47:57.174613,78.24.40.102,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
151,2020-02-13 05:49:06.518665,5.149.217.220,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
152,2020-02-13 05:49:21.847957,5.149.217.220,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
153,2020-02-13 05:49:50.425782,78.24.40.102,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
154,2020-02-13 05:52:34.540550,78.24.40.102,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
155,2020-02-13 06:02:09.825583,185.12.226.233,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
156,2020-02-13 06:04:12.784629,185.12.226.233,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
157,2020-02-13 06:05:29.308017,185.12.226.233,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
158,2020-02-13 06:07:09.168044,91.221.177.12,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
159,2020-02-13 06:09:13.611096,91.221.177.12,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
160,2020-02-13 06:12:09.695086,178.46.154.253,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
161,2020-02-13 06:12:14.738914,91.221.177.12,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
162,2020-02-13 06:18:05.463039,178.46.154.253,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
163,2020-02-13 06:18:21.572341,178.46.154.253,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
164,2020-02-13 06:20:24.039174,141.101.227.90,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
165,2020-02-13 06:22:28.762500,146.158.89.43,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
166,2020-02-13 06:23:07.467142,141.101.227.90,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
167,2020-02-13 06:23:50.814350,141.101.227.90,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
168,2020-02-13 06:24:35.475197,166.104.112.87,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
169,2020-02-13 06:25:57.711088,194.8.128.12,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
170,2020-02-13 06:27:25.713260,194.8.128.12,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
171,2020-02-13 06:27:44.851642,146.158.89.43,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
172,2020-02-13 06:28:34.741935,194.8.128.12,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
173,2020-02-13 06:28:44.753415,146.158.89.43,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
174,2020-02-13 06:36:10.914484,91.121.207.136,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
175,2020-02-13 06:38:51.121425,192.241.229.55,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
176,2020-02-13 06:42:15.691763,185.23.64.234,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
177,2020-02-13 06:43:51.377288,185.23.64.234,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
178,2020-02-13 06:44:04.672323,185.23.64.234,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
179,2020-02-13 07:20:14.250344,95.46.182.64,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
180,2020-02-13 07:21:53.938258,95.46.182.64,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
181,2020-02-13 07:25:18.279870,95.46.182.64,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
182,2020-02-13 08:02:17.623495,45.129.203.44,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
183,2020-02-13 08:05:52.280806,45.129.203.44,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
184,2020-02-13 08:07:57.245051,45.129.203.44,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
185,2020-02-13 08:27:46.239425,195.209.127.200,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
186,2020-02-13 08:28:44.844839,195.209.127.200,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
187,2020-02-13 08:29:34.547544,195.209.127.200,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
188,2020-02-13 08:48:33.171726,66.249.70.45,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
189,2020-02-13 09:05:10.913472,195.49.168.10,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
190,2020-02-13 09:10:00.137420,195.49.168.10,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
191,2020-02-13 09:17:33.257545,91.224.234.200,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
192,2020-02-13 09:18:30.134011,195.49.168.10,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
193,2020-02-13 09:19:47.701624,91.224.234.200,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
194,2020-02-13 09:19:49.560269,91.224.234.200,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
195,2020-02-13 10:11:52.299485,94.66.208.218,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
196,2020-02-13 10:15:28.615883,185.88.209.11,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
197,2020-02-13 10:16:12.245697,185.88.209.11,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
198,2020-02-13 10:16:46.664919,185.88.209.11,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
199,2020-02-13 10:35:49.140556,195.209.246.219,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
200,2020-02-13 10:36:01.957898,195.209.246.219,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
201,2020-02-13 10:36:30.964374,195.209.246.219,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
202,2020-02-13 11:13:31.851720,194.150.91.254,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
203,2020-02-13 11:13:46.572844,194.150.91.254,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
204,2020-02-13 11:14:38.167040,194.150.91.254,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
205,2020-02-13 11:21:09.576771,178.170.233.40,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
206,2020-02-13 11:23:10.318434,178.170.233.40,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
207,2020-02-13 11:23:58.757668,178.170.233.40,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
208,2020-02-13 12:11:17.712337,95.47.118.126,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
209,2020-02-13 12:13:21.857637,185.126.130.116,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
210,2020-02-13 12:14:07.005938,185.126.130.116,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
211,2020-02-13 12:14:34.360592,95.47.118.126,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
212,2020-02-13 12:14:35.409284,95.47.118.126,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
213,2020-02-13 12:15:25.897760,185.126.130.116,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
214,2020-02-13 12:15:27.098230,217.107.117.48,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
215,2020-02-13 12:16:16.361583,217.107.117.48,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
216,2020-02-13 12:16:48.418188,217.107.117.48,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
217,2020-02-13 12:26:33.828950,44.225.84.206,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
218,2020-02-13 12:26:35.391612,44.225.84.206,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
219,2020-02-13 12:26:36.873757,44.225.84.206,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
220,2020-02-13 12:26:38.581107,44.225.84.206,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
221,2020-02-13 12:26:40.007482,44.225.84.206,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
222,2020-02-13 12:26:41.425173,44.225.84.206,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
223,2020-02-13 12:50:33.338775,61.79.198.51,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
224,2020-02-13 12:55:36.793999,185.126.130.21,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
225,2020-02-13 12:56:21.159037,185.126.130.21,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
